Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
PASA Primates: Pan African Sanctuary Alliance,These ads ran without a disclaimer,≤100,4
Prison Yoga Project,These ads ran without a disclaimer,≤100,1
American Woman First",These ads ran without a disclaimer,≤100,1
Diamond State Diesel,These ads ran without a disclaimer,≤100,1
The Choices Program,These ads ran without a disclaimer,≤100,1
Giostar Chicago,These ads ran without a disclaimer,≤100,1
Florida Fair And Open Primaries,"Florida Fair and Open Primaries, Inc.",≤100,1
Kaye Bassey,These ads ran without a disclaimer,≤100,1
West Orlando News Online,the West Orlando News,≤100,1
The Hotline Movie,These ads ran without a disclaimer,≤100,1
Konbit Sante: Cap-Haitien Health Partnership,These ads ran without a disclaimer,≤100,1
Essential Reality,These ads ran without a disclaimer,≤100,1
Groundswell Movement,Groundswell Movement,≤100,1
Sugar Percussion,These ads ran without a disclaimer,≤100,1
Fair Haven Center,These ads ran without a disclaimer,≤100,1
"Jordyn Green, Mary Kay Independent Beauty Consultant",These ads ran without a disclaimer,≤100,1
Family Source Consultants,These ads ran without a disclaimer,≤100,1
Jewels by Design,These ads ran without a disclaimer,≤100,1
San Ramon Valley Education Foundation,These ads ran without a disclaimer,≤100,1
Sailing Project Endeavor,These ads ran without a disclaimer,≤100,1
Be Strong,These ads ran without a disclaimer,≤100,3
Blue Ridge Land Conservancy,These ads ran without a disclaimer,≤100,1
Passion River Films,These ads ran without a disclaimer,≤100,1
Run Next for Mount Pleasant,Run Next for Mount Pleasant,≤100,1
"Elect T. Lee Horne, III","T. Lee Horne, III. I am T. Lee Horne, III and I approve this ad.",≤100,1
Choose Blue,These ads ran without a disclaimer,≤100,2
Fantesca Estate & Winery,These ads ran without a disclaimer,≤100,1
California Solar Program Finder,These ads ran without a disclaimer,≤100,1
Kevin Oakden Photos,These ads ran without a disclaimer,≤100,1
Indiana Local News,These ads ran without a disclaimer,≤100,2
Scott E's Blog,Scott E's Blog,≤100,1
City Councilman Collin Czilli,Czilli for Portage,≤100,1
JustDifferent,These ads ran without a disclaimer,≤100,1
Healthalliance,These ads ran without a disclaimer,≤100,1
A Girl's Guide to Drinking Alone,These ads ran without a disclaimer,≤100,1
Kellie Lang for Franklin County PVA,Kellie Lang for PVA,≤100,1
Manny Brown's Langhorne,These ads ran without a disclaimer,≤100,1
SMTX Community Services,These ads ran without a disclaimer,≤100,1
Rocky Mountain Wildlife Alliance,These ads ran without a disclaimer,≤100,1
Our Revolution-CT Team,Dan Durso,≤100,1
America the Brave,These ads ran without a disclaimer,≤100,1
Sean Douglass,Sean Douglass,≤100,1
Food Bank of Central & Eastern North Carolina,Food Bank of Central & Eastern North Carolina,≤100,1
Talkwithme,These ads ran without a disclaimer,≤100,1
Africa My Africa,These ads ran without a disclaimer,≤100,3
Sustainne,These ads ran without a disclaimer,≤100,2
Cornerstone Bowling Green KY,Cornerstone Bowling Green KY,≤100,2
ARRES Solar,These ads ran without a disclaimer,≤100,1
Yankee Freedom III,These ads ran without a disclaimer,≤100,4
Brujo Daniel,These ads ran without a disclaimer,≤100,2
Edina Realty,These ads ran without a disclaimer,≤100,1
Florida Local News,These ads ran without a disclaimer,≤100,4
"Olympus Construction, Inc",These ads ran without a disclaimer,≤100,2
The Other Hudson Valley,"Roger Gilson, The Other Hudson Valley",≤100,1
Symmetry Services LLC,These ads ran without a disclaimer,≤100,1
River Bend Nature Center,These ads ran without a disclaimer,≤100,1
Cherokee Christian Schools,Cherokee Christian Schools,≤100,1
Zilch,These ads ran without a disclaimer,≤100,1
The Re-Society,These ads ran without a disclaimer,≤100,1
"One Bread Foundation, Inc.",These ads ran without a disclaimer,≤100,1
Local Real Estate,These ads ran without a disclaimer,≤100,1
Canary Media,These ads ran without a disclaimer,≤100,1
The Delores Project,These ads ran without a disclaimer,≤100,1
Keith Greene,Keith Greene,≤100,1
The Rossi Law Firm,These ads ran without a disclaimer,≤100,1
Smashed Barry,These ads ran without a disclaimer,≤100,2
I'm A Hater,These ads ran without a disclaimer,≤100,1
WE WBMS,These ads ran without a disclaimer,≤100,1
Get the WORD Out: Vintage. Antiques. Global Goods,These ads ran without a disclaimer,≤100,1
Animo Compton Charter School,These ads ran without a disclaimer,≤100,1
Greater Pensacola Chamber,the Pensacola Chamber,≤100,1
Hunger2Hope,These ads ran without a disclaimer,≤100,1
Gary Morris 2018,Gary Morris 2018,≤100,1
Weston Snowboards,Weston Snowboards,≤100,1
MCE Designs,These ads ran without a disclaimer,≤100,1
Deep Water Home & Electronics,Deep Water Home & Electronics,≤100,2
John McGowan San Diego Real Estate,These ads ran without a disclaimer,≤100,1
Weird History,These ads ran without a disclaimer,≤100,1
Illinois Senate Democrats,the Senate Democratic Victory Fund,≤100,1
We Are Sikhs,We Are Sikhs,≤100,1
Keystone State Education Coalition,These ads ran without a disclaimer,≤100,1
Morgan Jonathan,These ads ran without a disclaimer,≤100,2
Travel Vault LK,These ads ran without a disclaimer,≤100,1
Contrariana,Contrariana,≤100,1
French & Pickering Creeks Conservation Trust,These ads ran without a disclaimer,≤100,1
Indigenous,These ads ran without a disclaimer,≤100,1
Dece,These ads ran without a disclaimer,≤100,1
Vote 4 Dave Adelanto City Council,COMMITTEE TO ELECT DAVID MCCONNELL FOR ADELANTO CITY COUNCIL 2018  FPPC #1411233,≤100,1
Charity Fundraising Ideas,These ads ran without a disclaimer,≤100,1
Sosnicaragua-sacramento,sosnicaragua-sacramento,≤100,1
Caroline County Remembers,These ads ran without a disclaimer,≤100,1
OMGFacts,These ads ran without a disclaimer,≤100,37
Nuts & Dolts,Nuts & Dolts,≤100,1
Dont California Our Nevada,DontCaliforniaOurNevada,≤100,1
Friends of the Cleveland Kennel,These ads ran without a disclaimer,≤100,1
Teamsters Local 399,These ads ran without a disclaimer,≤100,1
Western United Dairymen,Western United Dairymen,≤100,1
Sukarya USA,These ads ran without a disclaimer,≤100,1
Miracle Making Ministries,These ads ran without a disclaimer,≤100,1
Both Sides Are Crazy,Just On Time Gifts,≤100,2
Adriana Andreas,These ads ran without a disclaimer,≤100,1
Governor Eddie Calvo,A Greater Guam,≤100,1
Maltz Museum of Jewish Heritage,These ads ran without a disclaimer,≤100,2
Mirakulous100,These ads ran without a disclaimer,≤100,1
Vote LEVY for Rowan County Commissioner,The Committee to Elect Veleria M Levy,≤100,1
The Futon Shop,These ads ran without a disclaimer,≤100,1
American Association of Private Lenders,These ads ran without a disclaimer,≤100,1
A Retired Guys Blog,These ads ran without a disclaimer,≤100,1
Michigan AutoGas,C&R Marketing,≤100,1
Falconer Fitness,These ads ran without a disclaimer,≤100,1
US Immigration Lawyers,These ads ran without a disclaimer,≤100,1
Elle & Reese,These ads ran without a disclaimer,≤100,1
Jack Patrick Lewis,Jack Patrick Lewis Committee,≤100,1
Councilwoman Tasha Green,Committee to Elect Tasha Green,≤100,1
GABE V Allisone Only1GOD,These ads ran without a disclaimer,≤100,1
Root Republic,These ads ran without a disclaimer,≤100,1
Enchanting X Swarovski Designs,These ads ran without a disclaimer,≤100,2
Dennis Burd Insurance,These ads ran without a disclaimer,≤100,1
Councilman John B. Franklin,John Franklin for Vista City Council,≤100,1
Missions Office,These ads ran without a disclaimer,≤100,1
Sin Citys House Cleaners,These ads ran without a disclaimer,≤100,1
Fortnightgear,These ads ran without a disclaimer,≤100,1
"DSC HomeCare Services, Inc.",These ads ran without a disclaimer,≤100,1
"Melissa Berube, GRI",These ads ran without a disclaimer,≤100,1
All Hands In,These ads ran without a disclaimer,≤100,1
City Harvest,These ads ran without a disclaimer,≤100,1
Hvrcrft,Dara Miller,≤100,1
Harry And Khan,These ads ran without a disclaimer,≤100,1
Space Coast Daily,These ads ran without a disclaimer,≤100,1
EV Drive Coalition,These ads ran without a disclaimer,≤100,1
For Kids & Country,These ads ran without a disclaimer,≤100,1
Alexis Acosta For Doral,Alexis Acosta Campaign for Doral City Council Seat #4 ballot 100,≤100,2
Clow Valve Company,These ads ran without a disclaimer,≤100,1
Idaho Falls Downtown Development Corporation,These ads ran without a disclaimer,≤100,1
Greenworld,Alessandra Ragusin,≤100,2
Ryan Dyrud,These ads ran without a disclaimer,≤100,1
Our Leader The Idiot,These ads ran without a disclaimer,≤100,1
Airport Tavern,These ads ran without a disclaimer,≤100,2
The Liberation Institute,These ads ran without a disclaimer,≤100,1
Grace Community Church,These ads ran without a disclaimer,≤100,1
Our Revolution Arlington,Our Revolution Arlington,≤100,1
Holt International,Holt International,≤100,1
Delmarva Power (Delmarva Connect),These ads ran without a disclaimer,≤100,1
Fonkoze,Fonkoze USA,≤100,4
San Antonio Charter Moms,Inga Cotton,≤100,1
Home Energy Guide,These ads ran without a disclaimer,≤100,2
LGBT Network,LGBT Network,≤100,1
Oregon Local News,These ads ran without a disclaimer,≤100,2
Michael J Pearce for Albany County Treasurer,Michael J Pearce for Treasurer,≤100,1
Advocate Against Romance Scams,Advocating Against Romance Scams,≤100,3
Univista Insurance Life and Health,These ads ran without a disclaimer,≤100,1
Sisters Committee of ISGH,These ads ran without a disclaimer,≤100,1
Lisa Porter for Inverness Township Clerk,Committee to Elect Lisa Porter for Inverness Township Clerk,≤100,1
Minnesota REALTORs,Minnesota REALTORS,≤100,1
The Year We Thought About Love,These ads ran without a disclaimer,≤100,1
USA Refugees & Immigrants,These ads ran without a disclaimer,≤100,1
EcoRoots,These ads ran without a disclaimer,≤100,1
Red Bluff Gold Exchange,These ads ran without a disclaimer,≤100,1
J&K Primitives and More,These ads ran without a disclaimer,≤100,1
Julie Alexander,Julie Alexander,≤100,1
Polk County fl - BS Poisoned Our Water,These ads ran without a disclaimer,≤100,1
Portland Children's Levy,Portland Children's Levy,≤100,4
ADF International,These ads ran without a disclaimer,≤100,1
FreedomRep.Com,These ads ran without a disclaimer,≤100,1
Maya MondayNight Padro,These ads ran without a disclaimer,≤100,1
Henry Bouchot,Whittier City Councilman Henry Bouchot,≤100,1
Iowa Local News,These ads ran without a disclaimer,≤100,1
Stiry,These ads ran without a disclaimer,≤100,1
Northminster Montessori Preschool and Kindergarten,These ads ran without a disclaimer,≤100,1
Promobot.us,These ads ran without a disclaimer,≤100,1
Clearfield City,These ads ran without a disclaimer,≤100,1
Model4greenliving,These ads ran without a disclaimer,≤100,1
Premera Blue Cross,These ads ran without a disclaimer,≤100,2
CleanFare,These ads ran without a disclaimer,≤100,1
Visit San Jose,These ads ran without a disclaimer,≤100,1
Shaun Ace Wolfe,These ads ran without a disclaimer,≤100,1
James Lindstrom,James Lindstrom,≤100,1
ACJ Health Justice Project,These ads ran without a disclaimer,≤100,1
Keepsakes Plus,Keepsakes Plus,≤100,1
Jeffrey Gibson Quality,Jeffrey Gibson Quality,≤100,1
Vision for the Children International,These ads ran without a disclaimer,≤100,1
4RKids,These ads ran without a disclaimer,≤100,1
Don Hanson,These ads ran without a disclaimer,≤100,2
Mike Brand,Mike Brand,≤100,1
The Xian AnCap,The Xian AnCap,≤100,1
"Provo, UT Local",These ads ran without a disclaimer,≤100,1
"Pinnacle Truck Driver Training, Inc.",These ads ran without a disclaimer,≤100,1
Tim Wessel - Brattleboro Selectboard,Tim Wessel,≤100,1
Lucky Pierre L.A. Ladies,Lucky Pierre Los Angeles,≤100,2
Lynch Foundation for Children,The Lynch Foundation for Children,≤100,1
"The Brake Stop Casper, Wyo",These ads ran without a disclaimer,≤100,1
"Law Office of Victor Ramirez, LLC",These ads ran without a disclaimer,≤100,1
Sonia Perez at Prudential,These ads ran without a disclaimer,≤100,1
Persistent Sisters,Persistent Sisters,≤100,1
Beto 2020,These ads ran without a disclaimer,≤100,1
West Linn Public Library,These ads ran without a disclaimer,≤100,1
Dan Schmitt for Supervisor,Friends of Dan Schmitt,≤100,1
EcoAgriculture Partners,These ads ran without a disclaimer,≤100,2
Thelifeofthepeople,These ads ran without a disclaimer,≤100,1
Dr Doug Keller,These ads ran without a disclaimer,≤100,1
Wonders and Miracles Podcast,These ads ran without a disclaimer,≤100,1
Alexandria Democratic Committee,the Alexandria Democratic Committee,≤100,1
"RMHC of Greater Houston/ Galveston, Inc.",These ads ran without a disclaimer,≤100,1
LDW,Democrats in Oregon,≤100,1
Hopelessly Conservative,Hopelessly Conservative,≤100,1
Quality Water Service,These ads ran without a disclaimer,≤100,1
Councilman Scott Bracken,Scott Bracken,≤100,1
SupChina,SupChina,≤100,2
Nina Lee,Nina Lee Music,≤100,1
Portland Harbor Community Coalition,These ads ran without a disclaimer,≤100,1
Exito en Usa,These ads ran without a disclaimer,≤100,1
ALE Sheep Company,These ads ran without a disclaimer,≤100,1
Run Forest Run,These ads ran without a disclaimer,≤100,1
Woo the People,These ads ran without a disclaimer,≤100,1
USARK - United States Association of Reptile Keepers,These ads ran without a disclaimer,≤100,1
Oklahoma Sheriffs & Peace Officers Association,These ads ran without a disclaimer,≤100,1
"SF Goodwill (San Francisco, San Mateo & Marin)",These ads ran without a disclaimer,≤100,2
Tiffanie's Desserts,These ads ran without a disclaimer,≤100,1
Latino Union of Chicago,Latino Union of Chicago,≤100,1
Elementally Green,These ads ran without a disclaimer,≤100,1
Keri Anne Caruthers for Justice of the Peace Precinct 1,Keri Caruthers for Justice of the Peace Precinct 1 campaign,≤100,1
Faith Hunter,These ads ran without a disclaimer,≤100,1
"Hot Pepper Wax, Inc.",These ads ran without a disclaimer,≤100,1
Para la Naturaleza,These ads ran without a disclaimer,≤100,1
Crown BMW,These ads ran without a disclaimer,≤100,1
10to4 Mountain Bike Challenge,These ads ran without a disclaimer,≤100,1
Asia Times - Philippines,These ads ran without a disclaimer,≤100,2
Katy Cares,These ads ran without a disclaimer,≤100,1
Jesus Miracle Church,These ads ran without a disclaimer,≤100,1
She Is Called,These ads ran without a disclaimer,≤100,1
Six84 Media,Six84 Media,≤100,1
Polaris Off-Road,These ads ran without a disclaimer,≤100,1
St Eugene School,These ads ran without a disclaimer,≤100,1
Azulartworld,These ads ran without a disclaimer,≤100,2
"Anytime Fitness Farmington, NM West Main",These ads ran without a disclaimer,≤100,1
SoberMap App,These ads ran without a disclaimer,≤100,1
DSST Credit by Exam Program,These ads ran without a disclaimer,≤100,1
Social Grounds Coffee,These ads ran without a disclaimer,≤100,1
Face Of  A Nation,Niru Nira,≤100,1
House of Adamant,These ads ran without a disclaimer,≤100,1
