Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Utah Green Energy Savings,Utah Green Energy Savings,≤100,3
Painters District Council 1M,Painters District Council 1M,≤100,1
SPARC,South Peninsula Area Republican Coalition,≤100,1
Protec Recycling,Protec Recycling,≤100,3
Israeli American Council - IAC,Israeli American Council (IAC),≤100,1
Assemblyman Christopher DePhillips,the EFO Christopher P. DePhillips,≤100,1
The San Antonio Observer,Publishing Company,≤100,1
The Louisiana Record,The Record,≤100,2
Wildlife Alliance,Wildlife Alliance,≤100,1
Harmony Toluca Lake,Hollywood United Methodist Church,≤100,2
Long Beach Forward,"Long Beach Forward, a project of Community Partners",≤100,1
US Drug Test Centers,Us Drug Test Centers,≤100,1
Fonkoze,Fonkoze USA,≤100,5
Kent Chamber of Commerce,Kent Chamber of Commerce,≤100,1
Retirement You Workshops,These ads ran without a disclaimer,≤100,1
Peace Gospel,Peace Gospel,≤100,6
Ed Turanchik for Mayor,"Ed Turanchik for Tampa Mayor, Non-Partisan",≤100,3
Grassroots America: We The People,Grassroots America - We the People PAC,≤100,1
The Will County News,The Will County News,≤100,1
Luxe Lifestyle,These ads ran without a disclaimer,≤100,2
Reuben D'Silva for U.S. Congress,Reuben D'Silva,≤100,1
Open Primaries Maine,Open Primaries Maine,≤100,1
Florida Coastal Property Rights,Florida Coastal Property Rights,≤100,1
John Kozlar for Mayor of Chicago,Supporters of John Kozlar for Mayor of Chicago,≤100,2
Libertarian Party of Calcasieu Parish,Libertarian Party of Calcasieu Parish,≤100,1
Livingston County Republican Party,"Livingston County Republican Party with regulated funds, P.O. Box 923, Brighton, MI 48116 (Not authorized by any candidate or candidate committee.)",≤100,1
Washington Wild,Washington Wild,≤100,1
McCaskill For Mayor City of Harvey 2019,Anthony L. McCaskill for City of Harvey Mayor,≤100,4
Sugar Ridge,These ads ran without a disclaimer,≤100,2
Physicians for a National Health Program-Missouri,Physicians for a National Health Program - MO Chapter,≤100,4
City of Falcon Heights,City of Falcon Heights,≤100,1
Josh Searle Channel,Josh Searle Channel,≤100,1
Dan Langshaw,Friends of Dan Langshaw,≤100,2
Connecticut Fair Housing Center,Connecticut Fair Housing Center,≤100,4
Cameron Henry,Cameron Henry,≤100,2
"Who's That Man with Mr. Lincoln, Mommy?",Biblioque LLC,≤100,2
Shirts Be Like,Shirts Be Like Co,≤100,1
The Donald Stuff,Junk Box Entertainment LLC,≤100,2
Ryan Ray for Texas House District 96,The Ryan Ray Campaign,≤100,1
Acme Bail Bonds,Acme Bail Bonds,≤100,1
Magdalene Hope,"Magdalene Hope, Inc.",≤100,2
Independence Party,Brent Morris,≤100,2
Delegate Karrie Delaney,Delaney for Delegate,≤100,1
The Logical Liberal,The Logical Liberal,≤100,2
Protect Your Central Coast,Central Coast Recycling Media Coalition,≤100,1
Major Thibaut for Pointe Coupee Parish President,Major Thibaut for Parish President Campaign,≤100,1
Devala,DEVALA,≤100,1
DRS Chicago LLC,DRS Chicago LLC,≤100,1
Chris Davis Music,These ads ran without a disclaimer,≤100,1
Clearing out the Clutter,Clearing out the Clutter.  The views expressed are those of the author only.,≤100,10
PE Solar,These ads ran without a disclaimer,≤100,1
Autumn Burke,Autumn Burke for Assembly 2018,≤100,2
Hampton Institute,Hampton Institute,≤100,6
Coastside Buzz,Coastside Buzz,≤100,4
The Dude's Designs,The Dude's Designs,≤100,1
Foundation for Individual Rights in Education,Foundation for Individual Rights in Education,≤100,1
The Armchair Observer,Nancy Brisson (Nancy L Brisson),≤100,2
Eric Stamps For Virginia,Eric Stamps for Virginia,≤100,9
Chris Winslow,Friends of Chris Winslow,≤100,2
Friendly Water for the World,Friendly Water for the World,≤100,1
Cecilia Aguiar-Curry for Assembly District 4,Cecilia Aguiar-Curry for Assembly,≤100,1
National Network of Abortion Funds,the National Network of Abortion Funds,≤100,12
Plateau,"Plateau Telecommunications, Inc.",≤100,8
Jeni Woock Gig Harbor City Council,Jeni Woock,≤100,3
Village Creek Boat Ramp,Friends of Village Creek Boat Ramp,≤100,1
Giving Care,Giving Care,≤100,2
Bill Cypert for Cabot Mayor,Bill for Cabot,≤100,1
National Write Your Congressman,National Write Your Congressman,≤100,1
Buffalo Iron Works,Buffalo Iron Works,≤100,7
Baptist Global Response (BGR),Baptist Global Response,≤100,1
Aloha Straw Company,These ads ran without a disclaimer,≤100,1
Maygan Leco,Maygan Leco for Union Township Board,≤100,2
ACLU of Louisiana,ACLU of Louisiana,≤100,1
The Rebel Riders Charities Inc.,The Rebel Riders Charities Inc. A 501(c)3 Non-Profit Public Charity.,≤100,2
Patrick O'Connor,Senator Patrick O'Connor,≤100,4
Menomonee Falls Action Team,"Menomonee Falls Action Team, Chris Byrnes, Chair",≤100,5
Jewish Labor Committee,These ads ran without a disclaimer,≤100,1
peacebuttons,PEACEbuttons,≤100,8
Electrical Safety Foundation International (ESFI),the Electrical Safety Foundation International,≤100,5
Team Fidelis,Team Fidelis,≤100,2
Travis County Republican Party,Travis County Republican Party,≤100,1
Supervisor Pete Candland,Pete Candland,≤100,1
Groton Alliance for Substance Abuse Prevention,Groton Alliance for Substance Prevention,≤100,4
Patriot Armed Defense,Timothy A Jett,≤100,1
NAMI of Larimer County,NAMI of Larimer County,≤100,1
Premier Cuts San Marcos Hair Salon,These ads ran without a disclaimer,≤100,1
Buffalo Creek Direct Care,Buffalo Creek Direct Care,≤100,1
American Association of Evangelicals - AAE,"Liberty T, LLC",≤100,1
ketnoinguoiviet.com,Ket Noi Nguoi Viet,≤100,2
St. Anna's Episcopal Church,St. Anna's Episcopal Church NOLA,≤100,1
Minimalist LFE,These ads ran without a disclaimer,≤100,8
5th Square,5th Square,≤100,2
The Village Reporter,The Village Reporter,≤100,20
Santa Monica Mirror,Mirror Media Group,≤100,2
The Church of God International,The Church of God International,≤100,1
CPAN -- The Coalition Protecting Auto No-Fault,Coalition Protecting Auto No-fault,≤100,1
SnugBee,These ads ran without a disclaimer,≤100,55
Minnesota Department of Transportation,Minnesota Department of Transportation,≤100,1
Law Office of Peter Vickery,Law Office of Peter Vickery,≤100,1
CivikOwl,"CivikOwl. We are an independent software company based in California, primarily self-funded, and not affiliated with any political party.",≤100,2
Alan Terrano,Alan J. Terrano,≤100,2
NPR's Latino USA,NPR's Latino USA,≤100,2
Blue Media Project,Blue Media Project,≤100,2
"Justin M. Buffer, Author",Justin M. Buffer,≤100,3
Alma del Mar Charter School,Alma del Mar Foundation,≤100,2
Pennsylvania Cable Network (PCN),PCN (Pennsylvania Cable Network),≤100,3
Freedom On High,Judith Boulden,≤100,4
The Objective Standard,Craig Biddle,≤100,2
Kentuckians For The Commonwealth,Kentuckians For The Commonwealth,≤100,1
WLQV FaithTalk Detroit,Salem Media Group,≤100,1
Trump Happens,Trump Happens - No Political Affiliation,≤100,1
ACLU of Arizona,the American Civil Liberties Union of Arizona,≤100,1
350.org,350,≤100,1
Skidmore College,Skidmore College,≤100,7
Christian Solidarity International - USA,Christian Solidarity International - USA,≤100,1
Our York Media,Our York Media,≤100,1
Proud LGBTQ Mom,Proud LGBTQ Mom,≤100,2
Nicholas Street,These ads ran without a disclaimer,≤100,2
Judge Nelson Wolff,Friends for Nelson Wolff,≤100,1
Berto Aguayo For 15th Ward Alderman,Friends of Berto Aguayo,≤100,1
Dan Pope,the Dan Pope for Mayor Campaign.,≤100,1
ADL - Anti-Defamation League (Florida Region),ADL Florida,≤100,1
"Matt Baker, Round Rock City Council Place 3",the Matt Baker Campaign,≤100,1
Advocate My Meds,Advocate My Meds,≤100,1
Access Housing,ACCESS Housing,≤100,2
HoCo Climate Action,HoCoClimateAction,≤100,1
Mobile Hub,These ads ran without a disclaimer,≤100,3
Eyes on Local 11,Center for Union Facts,≤100,1
Pawkier,These ads ran without a disclaimer,≤100,1
Leafly Jewels,These ads ran without a disclaimer,≤100,1
Save New Jersey Black Bears Stop The Hunt,John Bell (same as above),≤100,2
Scott Wilson for Erie County Legislature,Friends of Scott Wilson,≤100,1
Dream Home Construction LLC,These ads ran without a disclaimer,≤100,1
The Red Wave,Redwave XYZ,≤100,1
Whole Planet Foundation,Whole Planet Foundation,≤100,1
The Molina Law Group PLLC,The Molina Law Group,≤100,1
Goldfish Entertainment,These ads ran without a disclaimer,≤100,5
Northwest Regional Planning Commission,These ads ran without a disclaimer,≤100,1
Boston Scientific,These ads ran without a disclaimer,≤100,1
The Ladybug Emporium,These ads ran without a disclaimer,≤100,3
Environmental Integrity Project,The Environmental Integrity Project,≤100,1
Eleventh Candle Co.,These ads ran without a disclaimer,≤100,1
Alisheva Law - Immigration Law Office,Alisheva Law,≤100,1
Ryan Moore,Ryan Moore,≤100,3
John Thune,Friends of John Thune,≤100,1
Harold Love  State Representative District 58,"Harold M. Love, Jr.",≤100,1
Eileen Flanagan,Eileen Flanagan,≤100,4
East Metro Economic Alliance,the East Metro Economic Alliance,≤100,1
Alliance for a Better Utah,Alliance for a Better Utah,≤100,1
Major Curley,These ads ran without a disclaimer,≤100,1
County Legislator Sam Fein,Friends of Sam Fein,≤100,2
United Latinx Fund,United Latinx Fund,≤100,2
SAFE Project,SAFE Project,≤100,1
Sol Power Generators,"Sol Power Generators, LLC, A Renewable Energy Company",≤100,1
Wild Blueberries,Wild Blueberries,≤100,3
Colorado Pols,Colorado Pols,≤100,1
NAIS -- National Association of Independent Schools,National Association of Independent Schools,≤100,4
Excellence Photography LLC,Excellence Photography LLC,≤100,1
High Five Access Media,High Five Access Media,≤100,2
Health Access California,Health Access California,≤100,1
Equal Citizens,Equal Citizens,≤100,6
Page County Indivisible,Page County Indivisible,≤100,2
Councilman George McClellan,Committee to Elect George McClellan,≤100,3
Refugee Relief,Refugee Relief,≤100,10
FLAP TV,FLAPTV,≤100,2
New Virginia Majority,New Virginia Majority Fund,≤100,1
Campus Vote Project,Fair Elections Center's Campus Vote Project,≤100,2
Bob Jablonsky & Associates,Bob Jablonsky and Associates,≤100,4
American Liver Foundation,American Liver Foundation,≤100,1
MacIver Institute,The John K. MacIver Institute for Public Policy,≤100,1
NowThis,These ads ran without a disclaimer,≤100,1
A Beautiful Perspective,These ads ran without a disclaimer,≤100,1
JR and Vanessa Ford,Vanessa Ford,≤100,1
Make The Road Nevada,Make the Road Nevada,≤100,1
Roberto Prats,This page is only to promote the image of the possible candidacy for the government of Roberto Prats Palerm.  Any other use must be reported.  This page complies with all the Electoral Laws of Puerto Rico and the United States.,≤100,2
Splashing Apparel,These ads ran without a disclaimer,≤100,2
Profs and Pints,Profs and Pints,≤100,4
Verde Village News,Verde Village News,≤100,8
The United Methodist Church of Port Washington,The United Methodist Church of Port Washington,≤100,1
PR (Proportional Representation) Party,Friends of PR,≤100,2
Liberty or Death Project,Liberty or Death Project,≤100,1
Our Voice Nuestra Voz,Our Voice Nuestra Voz,≤100,2
Charles Kyle,Friends For Charles Kyle,≤100,2
HRC New England,Human Rights Campaign New England,≤100,1
Maple Heights African American Gazette,Maple Heights African American Gazette,≤100,13
Children's Institute,Children's Institute,≤100,1
Unspeakable Crimes,Ranker,≤100,11
Jason White,Jason White Cares,≤100,2
Garrett Hade,Garrett Hade,≤100,4
Elect a Woman President in 2020,Broken Glass 2020: Elect a Woman President,≤100,9
Tipton Adaptive Daycare,Tipton Adaptive Daycare LLC,≤100,1
Randy Randolph for Belleville Alderman,Randy Randolph for Belleville Alderman Ward 2,≤100,1
Rebecca Rusch,Orvis,≤100,1
Denny Walsh for Orono Mayor,Denny Walsh For Mayor,≤100,1
"Livelihood Law, LLC","Livelihood Law, LLC",≤100,1
Farmington / Farmington Hills Democratic Club,Farmington/ Farmington Hills Democratic Club,≤100,1
Law Office of Robbi Abrams Cook,Law Office of Robbi Abrams Cook,≤100,1
Minnesota's Hospitals,the Minnesota Hospital Association,≤100,1
Terrica Williams Campaign Page,These ads ran without a disclaimer,≤100,1
American Tax Service Moses Lake,American Tax Service,≤100,1
"Forgotten Children, Inc.","Forgotten Children, Inc.",≤100,3
Bike Concord,Bike Concord,≤100,1
St. Paul's Foundation for International Reconciliation,St. Paul's Foundation for International Reconciliation,≤100,1
Truth In Between,Truth In Between,≤100,1
Orphan Relief and Rescue,Orphan Relief Rescue,≤100,1
Broward College,Broward College,≤100,1
DC Young Republicans,DC Young Republicans,≤100,1
Support Ferndale Schools,Support Ferndale Schools Committee,≤100,1
"Seattle Chapter, National Organization for Women",Seattle NOW,≤100,1
The Hanger Project,The Hanger Project,≤100,4
El-Mahdi Holly for GA House111,CommIttee to Elect El-Mahdi Holly,≤100,2
Charles Law Jr For State Senate,Charles Law Jr For State Senate,≤100,2
Metro by T-Mobile,360,≤100,1
Barone for Plano City Council,Barone for Congress Principal Campaign Committee,≤100,2
Sgt. Benjamin Anthony - Our Soldiers Speak,Our Soldiers Speak,≤100,8
Congressman Marc Veasey,the Office of Congressman Marc Veasey,≤100,1
"Hamtramck, USA","Hamtramck, USA",≤100,1
Crooked Hillary,James Royster Jr,≤100,3
Rob Risinger For Clarksville City Council,ROB RISINGER,≤100,1
Miami-Dade Democrats,Miami-Dade Democrats,≤100,2
Danville Citizens for Responsible Growth,Danville Citizens for Responsible Growth,≤100,1
Get Green Alabama,The College Readiness Workshop,≤100,2
Nantucket Coastal Conservancy,Nantucket Coastal Conservancy,≤100,4
NAACP Buffalo Branch,Buffalo NAACP,≤100,2
Kennett Democrats,"Kennett Area Democrats, Dale LaBar, Treasurer",≤100,2
Hanover for Progress,Connie Hahn (1530119123880115),≤100,1
PMG Presents Like Page,These ads ran without a disclaimer,≤100,4
The Sentinel,The Sentinel,≤100,1
Hempfield Area Democratic Committee,The Hempfield Area Democratic Committee,≤100,1
Jeff Anderson & Associates,Jeff Anderson & Associates,≤100,1
Joyce Beatty for Congress,Joyce Beatty for Congress,≤100,1
NW Honeybee Habitat Restoration,These ads ran without a disclaimer,≤100,1
Neruda: The Poet's Calling - the biography of a poet,friends of Neruda: A Biography of a Poet,≤100,3
Slingshot Memphis,"Slingshot Memphis, Inc.",≤100,1
Barrett for Schools,Barrett for Schools,≤100,1
Law Offices of James A. Abate,Law Offices of James A. Abate,≤100,1
Faith in Action,Faith in Action,≤100,1
DC Statesman,DC Statesman,≤100,9
Pittsburghers for Public Transit,Pittsburghers for Public Transit,≤100,3
Vinyl Expressions & Shirt Shack,j ward,≤100,2
5-Star Local,5-Star Local,≤100,3
Keith Ingram,Keith Ingram for Arkansas,≤100,2
Karen Goh,Karen Goh,≤100,9
Crissy Perez,Grow Laredo,≤100,2
Hy-Lo News,Hy-Lo News (A Product of Tate Media Enterprises),≤100,2
Terry Canales,State Representative Terry Canales,≤100,2
Center for a Sustainable Coast,Center for a Sustainable Coast,≤100,2
Tobacco 21 Idaho,Transforming Communities Initiative,≤100,1
Mayor Dan Gelber,Miami Beach Mayor Dan Gelber,≤100,1
National Academy of Social Insurance (NASI),The National Academy of Social Insurance,≤100,1
Your Daily Pitch,Your Daily Pitch / Cox Media,≤100,1
Trump Rules,Trump Rules,≤100,1
Pax Americana,John Mueller,≤100,1
In Kind,In Kind,≤100,1
Urban Peak,These ads ran without a disclaimer,≤100,1
Sustainified,These ads ran without a disclaimer,≤100,7
Moms Clean Air Force - NH,Moms Clean Air Force,≤100,2
Blue Chip Insurance Wilmington,Blue Chip Insurance Wilimington,≤100,1
Spokane Talks,Spokane Talks Media,≤100,2
Mobile County Democratic Executive Committee,the Mobile County Democratic Executive Committee,≤100,1
Republican Liberty Caucus of Arizona,Republican Liberty Caucus of Arizona,≤100,1
The Larry Mendte Show,Larry Mendte,≤100,2
BLOOM Magazine,Bloom Magazine,≤100,1
Habitat for Humanity of Omaha,Habitat for Humanity of Omaha,≤100,1
